recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played,author_deck_playtime_at_review,appid,fetch_date,total_reviews
178293867,schinese,牛魔出生，更新完丢包率比你母爆掉的概率还高，一把下来起码丢包三四次，你们再不搞好优化，我就开小米su7把你们一个个创思，真的是BYD,1730615316,1730615690,True,487,255,0.956797659397125244,0,True,False,False,False,76561199545785825,40,5,15663,1495,13489,1732716394,,730,20241127_154107,100
172073501,schinese,17年遇见你，至今已经八九个年头。当初还在上大学，如今已经为了生活奔波，是你带给了我些许的快乐，当我写下这段评论的时候，我已经不在年轻了，落花若有怜我意，可否许我在少年。,1723589912,1723589912,True,417,35,0.948552787303924561,0,True,False,False,False,76561197974022279,0,1,10009,0,8658,1731150483,,730,20241127_154107,100
156099118,schinese,我很喜欢cs这款竞技性很强的fps游戏，但是我打游戏为的是缓解平时生活的压力，而不是为了得脑血栓少活几年，不管我的努力是否能提升我的游戏水平，我的枪法我的意识，如果对面真的更有天赋或者花费在玩cs的游戏时间更长，被对面打败我都是可以接受的，我愿意体验被更强的人击败的感觉，这让我知道我该如何提升自己。但就现在游戏环境而言，从几十到几百元的外挂在游戏中横行，有框的小透小锁虽然在这类游戏中一直是常见的，但是在cs2更新以来变得尤为的猖狂，平台有时还能封禁一些外挂，官匹更是群魔乱舞，每一把都有外挂，而他们根本没打算掩饰自己是开挂的，你质问他们开挂就只会得到菜就多练这种不明所以的话，更有甚者会嘲讽你没钱买挂，不买挂还来玩官匹？难道这是个给外挂开设的服务器么？凭什么低素质者的愚蠢行为要让广大的诚信玩家来买单呢，这游戏的受众从来也只有那一批人，老玩家被挂转习惯了也就罢了，反正点点举报你v社也不管，但这不代表老玩家不会寒心啊，你又是饰品交易又是箱子各种各样的营销方式赚的盆满钵满，却不在乎这个玩家主要团体的游戏体验，是MJpeek你们修复的很快，但是更严重的外挂问题呢？我只知道前几天处理了nl的无扩散封禁了一批玩家，人家挂比你优先账号还贵随便买个号继续转，高端挂不封低端挂也不管，一把被对面三个陀螺转了我提前退出游戏还要冷却我，自雷自火还是要冷却我，对面开挂的既让我损失了游戏体验还得让我冷却，所有的后果都是没开挂的人承担，要不然就是队友和对面对转，那这把游戏还是跟我没啥关系，几十块的外挂是没有nl和aw厉害，但是普通人还是很难打得过，更何况凭什么对面比自己多花了几十块钱就可以超越自己大量时间来磨练的技术，很多人甚至连路都走不明白，准星瞄地就是杀人，枪枪爆头，你让你的游戏玩家怎么想？又不是村里才通网，就算最开始不屑于开挂，但很多人的意志力是没有那么坚定的，上网一查各种价格的各种外挂，自己爽两把也没人管，再花点钱买个黑号，封了也和自己没关系，理所当然就加入了作弊的一员，后来发现几十块钱的外挂没有陀螺厉害，陀螺也不封禁，那就只会买参数越来越高的外挂，以自己用的挂更厉害，能一次惩罚对面所有人为乐，甚至希望对面有外挂来让自己惩罚他们，彰显自己行为的正义性，但这并不正义甚至十分的可笑，难道用错误的行径制裁别人能为自己的罪行开脱么？开挂的人本就该一视同仁，更何况很多人没有外挂，有外挂的毕竟还是少数人，你无情的惩罚了他们，只会让他们失去对这个优秀游戏的热爱，甚至黑化变得和开挂的自己一样。如果你根本不在乎这款游戏的存亡那就当我什么都没说，你不在乎自己这样愚蠢的快乐无情的建立在别人的痛苦之上，丧失了人性的人是无懈可击的，没法用一般的道德去束缚他们。如果外挂泛滥的情况持续下去，就只会恶性循环，让更多的人受苦受难，更多的人加入开挂的行列，开挂的低成本和恶劣游戏环境的诱导是现在外挂泛滥的两大原因。一个新的玩家上手这个游戏能匹配到旗鼓相当的对手已经非常困难了，绝大多数人的技术都是被炸鱼锤炼的，上千小时打你几百小时就是随便欺负你，但是这是理所当然的事情，别人付出了更多的努力理应获得更多的回报，他炸鱼虽然也不是什么正确的行为，但也总比每一把都匹配到外挂强，你和对方都付出了同等的努力，但他却因为多花了一些钱可以作弊，直接碾压了你，你会作何感想呢，是继续锻炼自己让自己能打过外挂还是自己也走个捷径欺负别人呢？反正都没人管，人性的丑陋自然而然就会暴露啊。既然你游戏环境同时影响新老玩家的游戏体验，那最后只会臭名昭著渐渐衰落啊，所有人提到cs2都会想到这是一个不公平的fps射击游戏，因为每把游戏都有外挂。而究其原因只是v社自己不作为而已，我不管v社你自己说自己封了多少外挂，升级了多少次反作弊，但我每把都依旧能匹配到外挂，我在csgo时期就买了优先账户，但我匹配的外挂数量并没有因此减少，优先排位里面外挂更是大打出手，为了几个破分争个参数高低，打个箱子也有没事来开挂玩的，该被转照样被转，拜托，我已经付钱给你了v社，难道我只是为了那几个几块的箱子或者天梯的分数么？我只希望我的游戏环境能纯净一些，匹配到和我一样努力且热爱这个游戏的人仅此而已，一百块的优先让我感觉不到任何意义除了我不用害怕每把都被对面转，无级匹配差不多就是外挂试参数的地方，从开局人满的倒计时把你转到这把结束，多匹配几把永远都是这些“老朋友”，无级不管也就算了，至少在意一下付费玩家的游戏体验吧。说了这么多我其实还是热爱cs的，本来它优秀的游戏性和平衡性是它常年经久不衰的最大原因，我卸载过许多次cs，但是我最后还是下载了回来，但当我开上一把发现和之前没有任何变化我是非常失望的，游戏依旧会莫名其妙丢帧，很低的延迟但总会丢包，其他什么游戏都没问题，玩国服挂不挂加速器也都是这样，每次更新说优化了玩起来还是很奇怪，外挂的依旧充斥在每一把对局里，几小时游戏时长的黑号各种各样的爆头穿烟穿墙，每把游戏开始之前都差不多能知道谁是外挂，队友是外挂对面也是外挂，干脆这游戏别让没外挂的人进游戏算了，进去也没游戏体验，甚至被外挂嘲讽。这就是cs2，游戏的优化很差，一有水就变卡，丢包也没法解决，遍地是外挂，开多少把遇见多少把，锁头开框陀螺没人管，饰品挂一开就封，真动你利益你是真管啊，我很难不认为这是个半成品的游戏。但说到最后我还是希望cs2变好的，我很希望大家能在一起公平的进行一场酣畅淋漓的竞技，不断磨练自己的技术成为最强的自己，永远也不要有外挂和炸鱼的出现。但是任重而道远啊，希望v社能幡然醒悟，早日加强反作弊的力度优化自己的游戏吧。,1705414913,1705414913,False,1011,69,0.941426336765289307,16,True,False,False,False,76561198408627367,42,1,108424,1486,86732,1732632193,,730,20241127_154107,100
170828814,turkish,Öncelikle emeği geçenlerin hepsinin amını dingilini sikiyim peş peşe 3 maç girdim 3 maçta da sadece hileler oynadı. Nerde BAN sistemi ? Nerde Yönetim ? Yalandan bi report paneli koymuşsunuz yıllardır ne sike yarıyo siz bile bilmiyosunuz ? Oyunu yenilemek yerine hilenin önüne nasıl geçeriz diye çalışsaydınız daha mantıklı olurdu. Şimdi ilk ve son kez söylüyorum YARRAMI YE VALVE YARRAMI YEEEE !!!!!!!!!,1722023847,1722023847,False,263,53,0.937950193881988525,14,False,False,False,False,76561198887843084,20,1,118643,0,117129,1729811838,,730,20241127_154107,100
176252358,english,"A year has passed. Armory update is a cash grab with no real gameplay value. VAC nowhere to be found, no new maps, the CSGO community has been wiped off the face of the earth. Disgusting company",1727914498,1727914498,False,1075,30,0.929479479789733887,0,True,False,False,False,76561198444372929,189,6,99657,1954,95974,1732696542,,730,20241127_154107,100
172440169,english,"terrible anti cheat people are getting false bans for high sensitivity/amd drivers/console commands while real cheaters are not getting banned
- no new content for months
- no new operation (it's been 3+ years)
- tons of competitive/wingman/hostage maps missing from csgo
- deleted achievements from csgo with 1 pointless one just make new ones
- no danger zone
- no team deatmatch
- sub tick is garbage all we wanted was 128tick servers
- spaghetti net code
- no short mm
- no flying scoutsman
- replays are bugged
- no overwatch
- performance issues
- peekers advantage
- bad ranking system
- no economy changes despite MR12
- movement and shooting is worse compared to csgo

All of this while they make hundreds of millions of dollars from cases/keys and yet are unable to make any fun new content unbelievable, and yet they waste their time with boring hero shooter deadlock that they will abandon within the first few months after the release just like they did to TF2, LFD2, Dota Underlords, CS2 VALVE needs to wake up and start caring for their games",1724050740,1724305603,False,688,25,0.92507016658782959,0,False,False,False,False,76561198893790695,0,1,2862,0,2862,1715537143,941.0,730,20241127_154107,100
161115395,brazilian,"Este jogo já foi incrível, reservei parte da minha infância jogando o 1.6 e source. Na adolescência e início da fase adulta pude jogar CS:GO, um jogo que já teve seus defeitos e problemas mas que me trouxe muitos amigos e boas horas de jogatina. Infelizmente, agora no CS2 eu vejo um jogo repleto de cheaters, com uma comunidade racista e que profere ofensas de baixo calão em basicamente todas as partidas, uma empresa extremamente mercenária, sendo todos os recursos novos na loja, mas que não se preocupa em melhorar e ativar um anti-cheater decente e punir os indivíduos criminosos (LEI Nº 14.532).

Depois de jogar duas partidas com cheaters, sendo uma delas com um indivíduo girando e matando 5 de awp com rapidfire em 1 segundo enquanto me chamava de macaco, vim aqui deixar meu voto de insatisfação.",1711078004,1711078502,False,246,16,0.924341917037963867,18,False,False,False,False,76561198111709627,70,8,249694,223,234961,1732070726,,730,20241127_154107,100
175835233,english,"EDIT: as of today 3.10.24 cs devs decided to release the most shamefull update and instead of operation (that a lot of people have been waiting for) they released a 16$ pass with no coin, no mission, no new maps, no new game modes what a joke, last operation Riptide cost 15$ and you could get 100 stars from it + coin and missions, now they wanna charge 16$ for only 40 stars ridiculous, ubisoft and ea should learn from valve how to rip the of their playerbase. Yet we are somehow STILL IN SEASON 1 OF PREMIER!!! Halooooo it's been a year.

Let’s be real: CS2 is an absolute disaster. If you think otherwise, you need to dive back into legacy CSGO to understand how a real game feels. 
The fundamentals of CS2 are laughably worse; CSGO runs smoother, feels better, and offers movement that isn’t a clunky mess. You don’t have to take my word for it - most pro players have openly admitted that CSGO is superior in virtually every aspect except for graphics. The optimization in CSGO is the result of years of meticulous polishing, while CS2 feels like a half-baked joke that can’t afford to take its time. If it doesn’t improve at lightning speed, it’s destined to wither away and die.

People are rapidly losing faith in this entire project. It’s a sinking ship, and Valve seems completely oblivious to the chaos around them. Meanwhile, out-of-touch investors continue to throw money at Valve, clinging to the belief that the company will deliver the ""next big thing"" - whether it’s an operation, a major update, or something else entirely. This speculation might eventually bear fruit, but for now, it’s the only thing driving the recent spike in skin prices - not any real improvements in gameplay or the anti-cheat system. And don’t even get me started on the absurd slogan “what you see is what you get.” It’s a total farce, especially with the whole subtick system mess. The gameplay constantly feels like it’s off by a few milliseconds, making it frustrating and inconsistent. Valve seems more interested in chasing shiny new distractions like Deadlock, which will never match the success of either CSGO or CS2. Player numbers for that game are already dropping, and let’s be honest - the initial surge was just the excitement of a new Valve release. The gameplay is dull, the graphics are mediocre at best, and frankly, it’s just boring.

Valve completely dropped the ball with CS2. They should have delayed this train wreck by a couple of years. Imagine if they had launched this version as a beta today instead of pretending it’s a finished product; it wouldn’t be nearly as disappointing. And for the love of God, the anti-cheat system is an absolute nightmare. It’s so poorly implemented that it raises serious doubts about whether Valve even cares about fairness in the game. If they don’t wake up and address these glaring issues, they risk losing the dedicated player base that has stuck around through thick and thin. It’s infuriating to watch my beloved franchise decay and wither away due to Valve’s incompetence and laziness. They rake in billions upon billions and can’t afford to expand the development team working on CS2?",1727383191,1727949673,False,767,18,0.922594070434570313,39,False,False,False,False,76561198969190268,0,2,8556,0,8556,1724785404,3538.0,730,20241127_154107,100
177600889,russian,"Отличная игра! Ваши сокомандники расскажут где и как они проводили время с вашей мамой, сестрой и троюродным дедушкой по линии собаки Вашей тёти! Также Вы узнаете многое о Вашем уровне развития, но это не беда, ведь здесь Вас окружают люди с IQ которое давным-давно уже ушло в минус. Вас убьют за AWP, калаш или любое оружие лучше ножа, всем советую",1729709632,1729709811,True,288,111,0.920378684997558594,0,True,False,False,False,76561199482837827,0,1,50436,355,48348,1732266449,,730,20241127_154107,100
176261663,schinese,你那微软输入法什么时候可以修复一下，游戏是越更新越卡，v社你在跟新你老木尼，优化是一点不做。实质性的东西不做，cs2上线一年了就跟新了4个地图，这次出的通行证一点诚意都没有，就出了圈钱的东西，smwy 。,1727928583,1727928583,False,207,17,0.920219480991363525,0,True,False,False,False,76561198419554381,30,2,125256,1391,120420,1732557495,,730,20241127_154107,100
